Protein Set	Description	K02	K04	K05	K07	K10	K12	K18	K20	K23	K24	K26	K27	K31	K32	K35	K41	K03	K06	K08	K09	K11	K13	K14	K15	K19	K22	K28	K29	K38	K40	K42	K43	K44	Z01	Z03	Z05	Z07	Z09	Z16	Z17	Z18	Z19	Z20	Z23	Z02	Z06	Z10	Z11	Z12	Z13	Z14	Z15	Z21	Z22	Z04	Z08	Z25
RAPGEF6	na	7.0	10.0	7.0	9.0	4.0	8.0	4.0	1.0	2.0	6.0	6.0	6.0	10.0	9.0	7.0	7.0	3.0	4.0	3.0	8.0	7.0	2.0	6.0	9.0	0.0	3.0	5.0	8.0	7.0	3.0	9.0	7.0	7.0	6.0	7.0	5.0	7.0	9.0	7.0	9.0	8.0	8.0	3.0	6.0	3.0	4.0	1.0	2.0	2.0	3.0	5.0	7.0	7.0	6.0	6.0	8.0	9.0
MCTS1	na	11.0	10.0	10.0	10.0	9.0	11.0	9.0	9.0	10.0	10.0	11.0	10.0	10.0	8.0	11.0	11.0	9.0	11.0	3.0	9.0	11.0	7.0	11.0	10.0	10.0	8.0	6.0	10.0	11.0	10.0	10.0	9.0	10.0	10.0	10.0	9.0	11.0	11.0	11.0	10.0	10.0	11.0	11.0	11.0	10.0	9.0	8.0	7.0	8.0	9.0	10.0	11.0	11.0	10.0	10.0	9.0	11.0
HVCN1	na	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0
LIG1	na	4.0	7.0	4.0	5.0	4.0	4.0	3.0	3.0	2.0	3.0	4.0	5.0	5.0	5.0	4.0	6.0	4.0	6.0	3.0	6.0	7.0	3.0	6.0	6.0	4.0	4.0	4.0	5.0	4.0	5.0	6.0	4.0	7.0	3.0	3.0	3.0	5.0	4.0	5.0	4.0	4.0	3.0	3.0	5.0	4.0	4.0	2.0	2.0	4.0	4.0	5.0	5.0	4.0	6.0	4.0	6.0	5.0
PRG1	na	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0
G6PD	na	31.0	33.0	29.0	31.0	28.0	30.0	30.0	31.0	28.0	28.0	33.0	35.0	31.0	28.0	29.0	32.0	30.0	31.0	16.0	30.0	29.0	27.0	31.0	30.0	27.0	31.0	27.0	30.0	32.0	30.0	31.0	31.0	31.0	32.0	29.0	30.0	32.0	34.0	32.0	34.0	34.0	31.0	29.0	33.0	30.0	26.0	24.0	23.0	28.0	30.0	32.0	30.0	31.0	32.0	35.0	31.0	34.0
RAB32	na	0.0	1.0	1.0	0.0	0.0	3.0	5.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	2.0
C3	na	65.0	59.0	51.0	63.0	62.0	70.0	48.0	52.0	29.0	46.0	66.0	71.0	41.0	39.0	27.0	29.0	57.0	47.0	13.0	73.0	61.0	60.0	56.0	68.0	26.0	34.0	20.0	23.0	42.0	47.0	27.0	35.0	62.0	58.0	72.0	31.0	36.0	50.0	26.0	46.0	64.0	43.0	51.0	31.0	64.0	24.0	30.0	29.0	43.0	42.0	24.0	37.0	66.0	39.0	44.0	62.0	54.0
GZMK	na	10.0	9.0	9.0	9.0	9.0	10.0	10.0	10.0	10.0	10.0	9.0	8.0	10.0	9.0	10.0	10.0	9.0	10.0	6.0	10.0	10.0	10.0	9.0	9.0	8.0	10.0	10.0	10.0	10.0	11.0	10.0	10.0	10.0	7.0	10.0	10.0	11.0	11.0	11.0	11.0	10.0	11.0	9.0	10.0	11.0	9.0	10.0	10.0	8.0	10.0	9.0	5.0	10.0	9.0	11.0	7.0	8.0
PEF1	na	3.0	4.0	4.0	4.0	2.0	2.0	3.0	3.0	4.0	2.0	3.0	4.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	1.0	3.0	2.0	3.0	2.0	1.0	4.0	2.0	4.0	3.0	2.0	3.0	4.0	1.0	4.0	3.0	4.0	3.0	3.0	4.0	5.0	1.0	4.0	3.0	3.0	2.0	2.0	3.0	2.0	4.0	5.0	3.0	3.0	4.0	3.0	3.0
OPTN	na	30.0	28.0	26.0	29.0	27.0	28.0	23.0	27.0	27.0	26.0	30.0	32.0	28.0	23.0	29.0	28.0	27.0	31.0	26.0	29.0	26.0	24.0	28.0	26.0	31.0	27.0	25.0	25.0	28.0	29.0	26.0	31.0	28.0	25.0	27.0	27.0	28.0	28.0	28.0	28.0	29.0	30.0	25.0	28.0	28.0	28.0	29.0	27.0	27.0	30.0	27.0	27.0	27.0	27.0	28.0	28.0	26.0
TOR1A	na	3.0	3.0	5.0	7.0	3.0	5.0	6.0	0.0	1.0	1.0	1.0	2.0	6.0	2.0	3.0	6.0	2.0	2.0	0.0	3.0	5.0	2.0	5.0	5.0	0.0	2.0	2.0	6.0	4.0	3.0	6.0	4.0	6.0	5.0	4.0	3.0	6.0	5.0	6.0	6.0	7.0	4.0	5.0	4.0	3.0	3.0	4.0	1.0	4.0	3.0	6.0	6.0	3.0	4.0	6.0	4.0	7.0
GCA	na	6.0	5.0	7.0	7.0	6.0	5.0	10.0	5.0	3.0	4.0	6.0	5.0	5.0	4.0	5.0	8.0	7.0	7.0	1.0	5.0	7.0	5.0	5.0	6.0	2.0	6.0	3.0	6.0	7.0	7.0	7.0	5.0	7.0	7.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	5.0	9.0	6.0	7.0	5.0	5.0	5.0	7.0	5.0	7.0	8.0	6.0	8.0	5.0	5.0	7.0
PSPC1	na	15.0	17.0	14.0	18.0	15.0	16.0	12.0	13.0	14.0	13.0	17.0	17.0	16.0	18.0	16.0	19.0	14.0	17.0	10.0	16.0	15.0	12.0	15.0	16.0	15.0	14.0	13.0	16.0	15.0	16.0	19.0	17.0	15.0	17.0	17.0	16.0	16.0	17.0	18.0	17.0	15.0	16.0	16.0	17.0	17.0	16.0	17.0	14.0	13.0	15.0	15.0	15.0	17.0	16.0	18.0	17.0	16.0
UBA2	na	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
NEK9	na	25.0	26.0	23.0	27.0	25.0	26.0	24.0	18.0	20.0	22.0	24.0	24.0	25.0	21.0	23.0	25.0	24.0	25.0	11.0	26.0	27.0	25.0	26.0	28.0	18.0	25.0	19.0	25.0	26.0	24.0	28.0	22.0	27.0	27.0	28.0	28.0	27.0	30.0	26.0	28.0	29.0	29.0	24.0	25.0	25.0	23.0	16.0	19.0	25.0	25.0	27.0	27.0	24.0	23.0	27.0	27.0	25.0
API5	na	20.0	20.0	17.0	22.0	21.0	19.0	18.0	17.0	16.0	16.0	22.0	19.0	18.0	20.0	18.0	20.0	22.0	21.0	14.0	20.0	19.0	19.0	19.0	20.0	15.0	17.0	16.0	19.0	17.0	18.0	20.0	22.0	22.0	24.0	22.0	21.0	24.0	25.0	26.0	22.0	26.0	25.0	19.0	23.0	24.0	21.0	18.0	20.0	19.0	23.0	23.0	24.0	23.0	23.0	25.0	26.0	22.0
MRI1	na	11.0	11.0	7.0	11.0	9.0	10.0	8.0	9.0	6.0	7.0	12.0	14.0	6.0	10.0	12.0	10.0	7.0	12.0	3.0	9.0	5.0	6.0	9.0	8.0	12.0	6.0	5.0	8.0	9.0	10.0	10.0	12.0	7.0	10.0	6.0	9.0	9.0	10.0	8.0	8.0	9.0	8.0	7.0	10.0	8.0	6.0	2.0	6.0	7.0	9.0	9.0	8.0	6.0	8.0	9.0	9.0	9.0
S100A8	na	11.0	16.0	14.0	15.0	12.0	12.0	17.0	16.0	11.0	11.0	15.0	17.0	11.0	15.0	14.0	13.0	15.0	13.0	10.0	9.0	12.0	12.0	12.0	12.0	10.0	11.0	10.0	12.0	13.0	14.0	15.0	15.0	12.0	15.0	12.0	11.0	13.0	10.0	12.0	14.0	12.0	12.0	16.0	17.0	15.0	15.0	13.0	12.0	14.0	11.0	11.0	14.0	12.0	12.0	11.0	11.0	14.0
COQ8A	na	9.0	10.0	10.0	10.0	9.0	10.0	4.0	1.0	1.0	5.0	7.0	7.0	7.0	9.0	6.0	9.0	3.0	3.0	1.0	7.0	9.0	6.0	6.0	11.0	1.0	6.0	3.0	7.0	5.0	4.0	7.0	5.0	8.0	9.0	7.0	8.0	9.0	9.0	10.0	10.0	10.0	8.0	7.0	7.0	9.0	7.0	1.0	4.0	5.0	8.0	10.0	9.0	6.0	8.0	8.0	9.0	7.0
DDX1	na	30.0	36.0	30.0	36.0	30.0	32.0	31.0	24.0	27.0	27.0	33.0	32.0	33.0	30.0	29.0	32.0	28.0	32.0	12.0	33.0	32.0	24.0	32.0	32.0	25.0	30.0	23.0	32.0	28.0	29.0	36.0	36.0	34.0	41.0	33.0	36.0	39.0	39.0	39.0	39.0	39.0	36.0	36.0	38.0	35.0	33.0	28.0	24.0	30.0	39.0	35.0	37.0	41.0	37.0	40.0	37.0	38.0
ASH2L	na	7.0	7.0	7.0	7.0	8.0	9.0	6.0	4.0	7.0	6.0	10.0	5.0	8.0	6.0	5.0	9.0	7.0	9.0	3.0	10.0	11.0	8.0	11.0	9.0	5.0	9.0	5.0	8.0	9.0	8.0	9.0	9.0	11.0	8.0	9.0	8.0	10.0	10.0	11.0	10.0	10.0	11.0	6.0	9.0	11.0	5.0	6.0	4.0	7.0	10.0	10.0	10.0	8.0	11.0	11.0	10.0	11.0
TYMP	na	25.0	25.0	24.0	26.0	26.0	23.0	26.0	28.0	18.0	16.0	28.0	29.0	24.0	24.0	21.0	25.0	22.0	27.0	14.0	21.0	25.0	20.0	23.0	22.0	23.0	21.0	15.0	21.0	23.0	25.0	24.0	28.0	25.0	29.0	24.0	23.0	26.0	23.0	25.0	24.0	24.0	25.0	23.0	23.0	25.0	24.0	21.0	18.0	21.0	24.0	25.0	25.0	23.0	25.0	25.0	21.0	25.0
CENPV	na	6.0	5.0	4.0	4.0	1.0	2.0	1.0	1.0	3.0	5.0	4.0	3.0	3.0	5.0	4.0	5.0	3.0	1.0	4.0	4.0	5.0	5.0	6.0	6.0	2.0	3.0	3.0	6.0	5.0	5.0	6.0	2.0	4.0	4.0	2.0	3.0	4.0	5.0	6.0	3.0	5.0	3.0	2.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	5.0	3.0	4.0	6.0	4.0	6.0	6.0
CUL3	na	31.0	28.0	25.0	34.0	24.0	27.0	26.0	9.0	14.0	23.0	22.0	22.0	23.0	21.0	24.0	29.0	24.0	30.0	5.0	26.0	29.0	23.0	32.0	32.0	9.0	21.0	21.0	26.0	24.0	26.0	30.0	25.0	30.0	31.0	26.0	25.0	31.0	29.0	32.0	28.0	28.0	29.0	26.0	28.0	30.0	29.0	17.0	18.0	23.0	28.0	27.0	26.0	25.0	30.0	32.0	31.0	30.0
APOL3	na	3.0	3.0	1.0	2.0	0.0	3.0	4.0	2.0	2.0	0.0	3.0	4.0	2.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	4.0	2.0	1.0	1.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	1.0	2.0	3.0	3.0	2.0	3.0	2.0	1.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	2.0	3.0	5.0	2.0	3.0
ACOT8	na	2.0	1.0	2.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0
ACSS1	na	14.0	10.0	10.0	9.0	14.0	12.0	10.0	7.0	11.0	9.0	12.0	10.0	14.0	7.0	12.0	10.0	9.0	12.0	1.0	12.0	13.0	9.0	11.0	11.0	4.0	13.0	8.0	13.0	12.0	12.0	13.0	11.0	14.0	13.0	10.0	13.0	15.0	15.0	15.0	12.0	14.0	15.0	7.0	13.0	13.0	8.0	5.0	5.0	10.0	13.0	13.0	13.0	14.0	15.0	15.0	12.0	15.0
ATP2B2	na	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SMARCE1	na	11.0	12.0	11.0	11.0	10.0	10.0	7.0	4.0	9.0	10.0	12.0	8.0	11.0	14.0	10.0	10.0	10.0	8.0	9.0	9.0	11.0	8.0	11.0	11.0	7.0	9.0	7.0	10.0	10.0	10.0	11.0	11.0	11.0	8.0	9.0	10.0	9.0	11.0	11.0	11.0	11.0	11.0	10.0	10.0	10.0	10.0	8.0	10.0	9.0	10.0	11.0	10.0	11.0	10.0	10.0	11.0	11.0
PACSIN2	na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LUC7L2	na	20.0	19.0	20.0	18.0	17.0	19.0	15.0	19.0	19.0	18.0	18.0	20.0	17.0	21.0	20.0	18.0	18.0	20.0	16.0	18.0	17.0	17.0	18.0	19.0	20.0	19.0	16.0	19.0	19.0	19.0	20.0	20.0	21.0	20.0	19.0	19.0	19.0	19.0	19.0	18.0	18.0	19.0	18.0	19.0	19.0	18.0	18.0	18.0	17.0	19.0	19.0	18.0	19.0	19.0	17.0	19.0	17.0
INF2	na	1.0	4.0	4.0	6.0	2.0	4.0	4.0	2.0	2.0	1.0	0.0	2.0	3.0	3.0	2.0	2.0	1.0	1.0	4.0	1.0	3.0	2.0	3.0	2.0	0.0	2.0	1.0	3.0	2.0	1.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	2.0	1.0	0.0	0.0	2.0	0.0	4.0	2.0	1.0	2.0	2.0	3.0	2.0
MCCC2	na	12.0	13.0	13.0	17.0	14.0	13.0	15.0	12.0	12.0	13.0	16.0	14.0	16.0	13.0	12.0	16.0	13.0	10.0	8.0	14.0	13.0	14.0	12.0	14.0	11.0	14.0	13.0	14.0	13.0	14.0	15.0	12.0	14.0	15.0	15.0	13.0	15.0	16.0	13.0	14.0	14.0	14.0	13.0	16.0	14.0	14.0	13.0	12.0	14.0	13.0	13.0	13.0	13.0	12.0	13.0	13.0	12.0
SNCA	na	3.0	2.0	2.0	5.0	3.0	3.0	4.0	4.0	2.0	2.0	3.0	4.0	3.0	4.0	3.0	2.0	3.0	3.0	1.0	5.0	2.0	2.0	3.0	4.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	5.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	3.0
AD 2	na	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
KIAA1033	na	7.0	10.0	10.0	11.0	7.0	9.0	12.0	2.0	3.0	1.0	7.0	5.0	7.0	3.0	6.0	11.0	4.0	12.0	1.0	9.0	13.0	4.0	10.0	11.0	2.0	5.0	2.0	8.0	7.0	10.0	12.0	8.0	11.0	9.0	9.0	11.0	14.0	12.0	14.0	10.0	12.0	11.0	3.0	7.0	5.0	8.0	4.0	3.0	6.0	9.0	14.0	12.0	4.0	12.0	13.0	11.0	11.0
SARS2	na	15.0	18.0	14.0	16.0	11.0	15.0	13.0	7.0	12.0	10.0	16.0	18.0	15.0	11.0	11.0	15.0	10.0	11.0	7.0	15.0	13.0	5.0	14.0	16.0	10.0	9.0	5.0	16.0	12.0	16.0	16.0	13.0	12.0	13.0	12.0	13.0	16.0	17.0	14.0	15.0	14.0	13.0	10.0	11.0	11.0	8.0	7.0	6.0	10.0	12.0	14.0	13.0	13.0	15.0	14.0	16.0	15.0
AP3D1	na	19.0	18.0	17.0	19.0	16.0	17.0	17.0	8.0	10.0	12.0	17.0	17.0	18.0	13.0	16.0	19.0	13.0	17.0	6.0	19.0	20.0	13.0	18.0	19.0	9.0	14.0	11.0	18.0	18.0	19.0	18.0	17.0	18.0	18.0	19.0	19.0	20.0	20.0	19.0	20.0	18.0	18.0	17.0	17.0	17.0	14.0	12.0	8.0	10.0	14.0	19.0	21.0	18.0	19.0	20.0	21.0	20.0
NQO2	na	5.0	3.0	4.0	4.0	4.0	5.0	4.0	2.0	4.0	2.0	3.0	7.0	0.0	4.0	2.0	7.0	5.0	5.0	2.0	4.0	1.0	2.0	1.0	2.0	1.0	3.0	3.0	4.0	3.0	5.0	4.0	6.0	2.0	4.0	3.0	2.0	3.0	4.0	5.0	3.0	5.0	4.0	4.0	4.0	2.0	3.0	2.0	2.0	3.0	2.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0
RAB8A	na	5.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
PDCD11	na	28.0	27.0	25.0	28.0	25.0	28.0	23.0	8.0	12.0	19.0	25.0	19.0	27.0	24.0	25.0	27.0	20.0	22.0	10.0	25.0	27.0	27.0	28.0	27.0	7.0	23.0	18.0	28.0	26.0	27.0	28.0	23.0	28.0	25.0	24.0	22.0	27.0	29.0	29.0	29.0	28.0	28.0	19.0	23.0	22.0	19.0	8.0	12.0	21.0	29.0	26.0	29.0	25.0	26.0	29.0	27.0	31.0
LACRT	na	2.0	3.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	4.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
THOC5	na	6.0	9.0	9.0	10.0	7.0	9.0	6.0	5.0	4.0	6.0	6.0	5.0	7.0	9.0	7.0	11.0	5.0	6.0	2.0	7.0	8.0	5.0	8.0	9.0	3.0	6.0	5.0	10.0	7.0	7.0	11.0	8.0	10.0	10.0	8.0	9.0	10.0	9.0	9.0	11.0	12.0	8.0	5.0	9.0	9.0	5.0	3.0	5.0	7.0	8.0	7.0	10.0	9.0	10.0	11.0	9.0	10.0
TRIM4	na	2.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	1.0	3.0	2.0	2.0	0.0	2.0	4.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	4.0	4.0	3.0
CSDE1	na	24.0	27.0	23.0	25.0	24.0	26.0	24.0	24.0	20.0	20.0	29.0	27.0	24.0	23.0	21.0	26.0	16.0	23.0	7.0	20.0	21.0	21.0	25.0	21.0	23.0	25.0	14.0	26.0	25.0	22.0	25.0	25.0	25.0	23.0	22.0	19.0	21.0	24.0	25.0	26.0	26.0	29.0	21.0	24.0	20.0	18.0	14.0	13.0	17.0	19.0	23.0	24.0	22.0	20.0	24.0	24.0	22.0
SNAP23	na	10.0	9.0	10.0	13.0	7.0	6.0	8.0	7.0	5.0	5.0	10.0	11.0	10.0	12.0	10.0	10.0	8.0	7.0	6.0	9.0	8.0	8.0	8.0	11.0	1.0	7.0	6.0	9.0	9.0	9.0	11.0	12.0	11.0	11.0	10.0	8.0	8.0	7.0	11.0	9.0	10.0	10.0	6.0	11.0	7.0	6.0	3.0	10.0	4.0	6.0	7.0	8.0	7.0	7.0	9.0	10.0	12.0
LUC7L	na	3.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	1.0	3.0	1.0	3.0	1.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0
CYCS	na	8.0	10.0	8.0	9.0	10.0	8.0	8.0	9.0	9.0	10.0	9.0	10.0	8.0	11.0	9.0	8.0	10.0	8.0	9.0	9.0	7.0	9.0	9.0	8.0	8.0	7.0	8.0	9.0	8.0	10.0	8.0	12.0	9.0	8.0	8.0	8.0	7.0	9.0	8.0	9.0	8.0	9.0	9.0	9.0	7.0	8.0	8.0	10.0	7.0	10.0	7.0	8.0	8.0	8.0	9.0	9.0	9.0
SPCS3	na	5.0	6.0	5.0	6.0	5.0	6.0	5.0	1.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	7.0	4.0	5.0	3.0	6.0	6.0	5.0	6.0	6.0	2.0	5.0	4.0	5.0	6.0	5.0	7.0	6.0	6.0	7.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	6.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	7.0
SLC25A1	na	10.0	10.0	10.0	11.0	9.0	9.0	10.0	9.0	9.0	9.0	10.0	10.0	9.0	8.0	10.0	10.0	9.0	9.0	5.0	10.0	10.0	10.0	8.0	10.0	7.0	10.0	9.0	10.0	9.0	10.0	10.0	9.0	11.0	11.0	10.0	10.0	9.0	9.0	10.0	10.0	10.0	10.0	9.0	11.0	11.0	8.0	8.0	7.0	9.0	10.0	9.0	9.0	7.0	9.0	10.0	10.0	11.0
LANCL1	na	12.0	12.0	11.0	13.0	12.0	11.0	10.0	10.0	10.0	11.0	13.0	13.0	10.0	6.0	11.0	12.0	12.0	13.0	4.0	12.0	12.0	11.0	13.0	12.0	12.0	12.0	9.0	11.0	12.0	12.0	13.0	13.0	13.0	13.0	11.0	13.0	12.0	13.0	12.0	11.0	11.0	13.0	10.0	11.0	12.0	10.0	10.0	9.0	11.0	12.0	12.0	11.0	12.0	12.0	12.0	11.0	12.0
HLA-A	na	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TPK1	na	3.0	2.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0	3.0	3.0	4.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	1.0	3.0	2.0	3.0	2.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	2.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	2.0	2.0	2.0	2.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0
CLPB	na	6.0	4.0	4.0	5.0	6.0	4.0	6.0	2.0	3.0	3.0	4.0	3.0	6.0	5.0	3.0	5.0	3.0	4.0	5.0	7.0	4.0	5.0	6.0	4.0	1.0	3.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	6.0	5.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	6.0	5.0	5.0	7.0	6.0	3.0	7.0
EPS15	na	28.0	28.0	25.0	29.0	26.0	25.0	17.0	17.0	20.0	22.0	28.0	26.0	27.0	22.0	27.0	30.0	20.0	29.0	15.0	24.0	25.0	19.0	24.0	25.0	18.0	23.0	18.0	26.0	24.0	26.0	27.0	29.0	28.0	22.0	25.0	21.0	26.0	28.0	27.0	25.0	25.0	27.0	23.0	27.0	25.0	25.0	22.0	21.0	22.0	23.0	24.0	24.0	25.0	26.0	27.0	26.0	27.0
ACTR10	na	10.0	9.0	9.0	10.0	9.0	8.0	8.0	5.0	7.0	8.0	11.0	10.0	11.0	6.0	8.0	11.0	8.0	10.0	3.0	10.0	9.0	7.0	10.0	8.0	7.0	8.0	4.0	9.0	11.0	9.0	9.0	10.0	8.0	8.0	9.0	9.0	11.0	10.0	12.0	10.0	10.0	11.0	8.0	10.0	7.0	10.0	6.0	4.0	8.0	11.0	10.0	9.0	8.0	9.0	11.0	10.0	12.0
AP1S2	na	4.0	3.0	4.0	3.0	4.0	3.0	4.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0
